App ID,Name,Price,Genres,User Reviews,Positive Reviews,Negative Reviews,Owners,Average Playtime,Median Playtime,Developer,Publisher
3422370,Strayed - Gingerbread Crossbow Skin,199.0,"Action, Adventure, Casual, Indie, Massively Multiplayer, Strategy",0,0,0,0 .. 20000,0,0,Crustacean Interactive,
3420920,Trade Rivals- Goblin Age,0.0,,0,0,0,0 .. 20000,0,0,,
3420930,BallMan - Two Players,139.0,"Action, Adventure, Casual, Indie",0,0,0,0 .. 20000,0,0,CAESARGAMES91,
3420960,3D Raid River,499.0,"Action, Adventure",0,0,0,0 .. 20000,0,0,MLB-Miagui,MLB-Miagui
3421080,Island Life With Mayalala,0.0,,0,0,0,0 .. 20000,0,0,,
3421220,RrrrrAbbit,0.0,,0,0,0,0 .. 20000,0,0,,
3421070,Sayaka's Addiction,0.0,,0,0,0,0 .. 20000,0,0,,
3421130,Those Who Crawl VR,0.0,,0,0,0,0 .. 20000,0,0,,
3421010,Transylvania Drift,0.0,,0,0,0,0 .. 20000,0,0,,
3421300,Lyca,0.0,,0,0,0,0 .. 20000,0,0,,
3421330,There's No Cake,0.0,,0,0,0,0 .. 20000,0,0,,
3421320,Leadlight,0.0,,0,0,0,0 .. 20000,0,0,,
3420410,,0.0,,0,0,0,0 .. 20000,0,0,,
3420490,Landing,69.0,"Action, Indie, Strategy",0,0,0,0 .. 20000,0,0,SOT烈,SOT烈
3420500,Temple-Cobolia-Benchmark,0.0,,0,0,0,0 .. 20000,0,0,,
3420980,You Have A Delivery,0.0,,0,0,0,0 .. 20000,0,0,,
3420680,The 13th Floor,299.0,"Casual, Indie",3,3,0,0 .. 20000,0,0,Double DA Games,Double DA Games
3421000,The Right to Bear Arms,0.0,,0,0,0,0 .. 20000,0,0,,
3420650,Food Escape,0.0,,0,0,0,0 .. 20000,0,0,,
3420510,Hentai Step Milf,159.0,"Casual, Indie",0,0,0,0 .. 20000,0,0,UwU,UwU
3420700,Pioneers of the Unknown,0.0,,0,0,0,0 .. 20000,0,0,,
3420690,BLOODKILL: Goreblast Overkill,0.0,,0,0,0,0 .. 20000,0,0,,
3420820,Chaos Ascension,0.0,,0,0,0,0 .. 20000,0,0,,
3420790,Taram Baba,0.0,,0,0,0,0 .. 20000,0,0,,
3421100,War and Politics,0.0,,0,0,0,0 .. 20000,0,0,,
3421290,Ocean Planet - Golden Scuba Tank,159.0,"Action, Adventure, Indie",0,0,0,0 .. 20000,0,0,Adam314,Adam314
3420840,The Outer Side,199.0,"Action, Adventure, Indie",10,10,0,0 .. 20000,0,0,Aquatic Games,Aquatic Games
3420870,Cloverskar,0.0,,0,0,0,0 .. 20000,0,0,,
3419930,Cobbled Quest,479.0,"Action, Adventure, Indie, Early Access",0,0,0,0 .. 20000,0,0,Quayside Magpie,Quayside Magpie
3419960,Dog Gone Cats: Tail of 300 Days,0.0,,0,0,0,0 .. 20000,0,0,,
3420590,,0.0,,0,0,0,0 .. 20000,0,0,,
3420070,Cozy Littlequarium,0.0,,0,0,0,0 .. 20000,0,0,,
3420170,Dead Sector Dedicated Server,0.0,,0,0,0,0 .. 20000,0,0,,
3420280,Idle Research 2,0.0,,0,0,0,0 .. 20000,0,0,,
3419440,Into The Depths,299.0,"Action, Adventure, Indie",2,2,0,0 .. 20000,0,0,ADC,ADC
3419460,~,0.0,,0,0,0,0 .. 20000,0,0,,
3420340,Deep Space Facility: Outcast,0.0,,0,0,0,0 .. 20000,0,0,,
3420140,Hentai Emiko,0.0,,0,0,0,0 .. 20000,0,0,,
3419390,Gelluloid Domination,0.0,,0,0,0,0 .. 20000,0,0,,
3419520,Quarantine Zone: The Last Check,0.0,,0,0,0,0 .. 20000,0,0,,
3419880,Elect,0.0,,0,0,0,0 .. 20000,0,0,,
3419530,TeeDee,0.0,,0,0,0,0 .. 20000,0,0,,
3418990,Shattered Divinities,0.0,,0,0,0,0 .. 20000,0,0,,
3420230,Steam & Stones,0.0,,0,0,0,0 .. 20000,0,0,,
3419720,The Madness,0.0,,0,0,0,0 .. 20000,0,0,,
3418910,Ginger,0.0,,0,0,0,0 .. 20000,0,0,,
3419540,My Waifu - a Pornstar,0.0,,0,0,0,0 .. 20000,0,0,,
3419770,Apple Man,499.0,"Action, Adventure",1,1,0,0 .. 20000,0,0,Prime Time Interactive,Prime Time Interactive
3419860,Bunny Tavern,0.0,,0,0,0,0 .. 20000,0,0,,
3419000,,0.0,,0,0,0,0 .. 20000,0,0,,
3419650,Thin Line,0.0,,0,0,0,0 .. 20000,0,0,,
3419610,Draw in the tray,99.0,Casual,1,0,1,0 .. 20000,0,0,Drawer,Drawer
3419780,Tick Hop,0.0,,0,0,0,0 .. 20000,0,0,,
3419090,,0.0,,0,0,0,0 .. 20000,0,0,,
3419120,DEVIL'S WAY 2,0.0,,0,0,0,0 .. 20000,0,0,,
3418490,Nemesis Shock,0.0,,0,0,0,0 .. 20000,0,0,,
3419160,Helbreath USA,0.0,,0,0,0,0 .. 20000,0,0,,
3418430,10 Seconds,0.0,,0,0,0,0 .. 20000,0,0,,
3419290,GOD FORSAKEN,0.0,,0,0,0,0 .. 20000,0,0,,
3418610,,0.0,,0,0,0,0 .. 20000,0,0,,
3419340,Virtua Fighter 5 R.E.V.O. - Pre-Production Artbook,0.0,,0,0,0,0 .. 20000,0,0,,
3419220,Dungeon Warfare 3,0.0,,0,0,0,0 .. 20000,0,0,,
3418620,Epochs of Fire,0.0,,0,0,0,0 .. 20000,0,0,,
3418640,Shrimp Survivors,0.0,,0,0,0,0 .. 20000,0,0,,
3418790,Team Rise - Customization pack,199.0,"Action, Adventure, Casual, Indie, Racing, Free To Play",0,0,0,0 .. 20000,0,0,Homyrest,
